"Fartøy","Name","From","To","Length","Type","GrossTonnage","IMO"
"NS ORLA","Ns Orla","Offshoreinst North Sea","Offshoreinst North Sea","97","51","5165","9657648"
"NAO STORM","Nao Storm","North sea","TBN","83.31","51","3636","9722510"
"REM ARCTIC","Rem Arctic","Ukjent havn i ukjent land","Ukjent havn i ukjent land","87.22","51","4609","9731250"
"ISLAND CHALLENGER","Island Challenger","North sea","North sea","93","51","4382","9371696"
"FAR SYGNA","Far Sygna","North sea","North sea","94.65","51","4797","9665798"
"SIEM OPAL","Siem Opal","TBN","Scrabster","91","51","7473","9442419"
"ARTIC JUNIOR","Artic Junior","Ukjent havn i ukjent land","Ukjent havn i ukjent land","68.37","22","1918","9411800"
"SKANDI MAROY","Skandi Maroy","North sea","North sea","82.2","51","3588","9625023"
"NS FRAYJA","Ns Frayja","Offshoreinst North Sea","Sandnes","97","51","5165","9657650"
"COMABAR","Comabar","Ukjent havn i ukjent land","Haugesund","63.02","21","1211","8411231"
"SKANDI FEISTEIN","Skandi Feistein","Norway Offshore","Norway Offshore","87.9","51","3959","9607693"
"EIDE REX","Eide Rex","Ukjent havn i ukjent land","Ukjent havn i ukjent land","38.16","61","330","7392816"
"STAVANGERFJORD","Stavangerfjord","Bergen","Hirtshals","170","43","31678","9586605"
"STRIL NEPTUN","Stril Neptun","North sea","Den Helder","70.4","51","2423","9201786"
"LOS 108","Los 108","Ukjent havn i ukjent land","Ukjent havn i ukjent land","0","80","47","0"
"GOTLAND","Gotland","Halmstad","Bergen","89.78","21","2999","9361366"
"SANDNES","Sandnes","Ukjent norsk havn","Ukjent norsk havn","72.54","49","1432","5310905"
"KEY BREEZE","Key Breeze","Averøy","Eemshaven","96.82","11","2885","9344265"
"VOS DISCOVERY","Vos Discovery","Aberdeen","Norway Offshore","55.2","51","1433","9366031"
"KEY WEST","Key West","Skagen","Florø","89.98","11","2634","9020429"
"NYSTEIN","Nystein","Fiska","Fiska","82.38","22","1864","9137284"
"REM LEADER","Rem Leader","Offshoreinst North Sea","Offshoreinst North Sea","89.6","51","5335","9627772"
